county,ward,total,Screnock,Dallet,SCATTERING
,Town of MIDDLETON Wards 1-8,"1,772",584,"1,186",2
,Town of MONTROSE Wards 1-2,373,102,271,0
,Town of OREGON Wards 1-4,974,294,680,0
,Town of PERRY Ward 1,247,68,179,0
,Town of PLEASANT SPRINGS Ward 1-4,825,278,546,1
,Town of PRIMROSE Ward 1,217,49,167,1
,Town of ROXBURY Wards 1-2,413,153,260,0
,Town of RUTLAND Wards 1-2,590,183,407,0
,Town of SPRINGDALE Wards 1-2,540,186,353,1
,Town of SPRINGFIELD Wards 1-3,612,237,375,0
,Town of SUN PRAIRIE Wards 1-3,544,189,355,0
,Town of VERMONT Ward 1,276,75,201,0
,Town of VERONA Ward 1-4,599,174,425,0
,Town of VIENNA Wards 1-2,323,136,186,1
,Town of WESTPORT Ward 1-5,"1,250",404,846,0
,Town of YORK Ward 1,152,60,92,0
,Village of BELLEVILLE Ward 1-2,452,107,345,0
,Village of BLACK EARTH Wards 1-2,330,98,232,0
,Village of BLUE MOUNDS Ward 1,213,51,162,0
,"Village of BROOKLYN Wards 1,3",194,59,134,1
,Village of CAMBRIDGE Ward 2-3,360,109,250,1
,Village of COTTAGE GROVE Wards 1-12,"1,453",431,"1,018",4
,Village of CROSS PLAINS Wards 1-5,872,235,637,0
,Village of DANE Ward 1,242,91,147,4
,Village of DEERFIELD Ward 1-3,431,139,292,0
,"Village of DEFOREST Wards 1-6,14-18,21",931,303,627,1
,"Village of DEFOREST Wards 7-13,19-20",763,245,518,0
,Village of MAPLE BLUFF Wards 1-2,628,164,464,0
,Village of MARSHALL Ward 1-5,772,289,482,1
,Village of MAZOMANIE Ward 1-3,432,132,298,2
,Village of MCFARLAND Wards 1-12,"2,164",559,"1,604",1
,Village of MOUNT HOREB Ward 1-4,803,201,602,0
,Village of MOUNT HOREB Ward 5-9,959,243,714,2
,"Village of OREGON Wards 1,5-6,11",743,157,586,0
,"Village of OREGON Wards 2-4,12",741,185,555,1
,Village of OREGON Wards 7-10,793,183,609,1
,Village of ROCKDALE Ward 1,53,14,39,0
,Village of SHOREWOOD HILLS Wards 1-2,892,61,831,0
,Village of WAUNAKEE Wards 1-5,"1,568",525,"1,042",1
,Village of WAUNAKEE Wards 6-11,"1,525",491,"1,034",0
,Village of Windsor Wards 1-5,674,303,371,0
,Village of Windsor Wards 6-10,869,262,606,1
,CITY OF EDGERTON Ward 7,20,8,12,0
,City of FITCHBURG Ward 1-4,765,151,614,0
,City of FITCHBURG Ward 5-9,"1,972",378,"1,592",2
,City of FITCHBURG Ward 10-14,"1,147",195,952,0
,City of FITCHBURG Wards 15-20,"1,779",410,"1,366",3
,City of MADISON Ward 1,481,80,401,0
,City of MADISON Ward 2,442,69,373,0
,City of MADISON Ward 3,367,75,292,0
,City of MADISON Ward 4,300,61,239,0
,City of MADISON Ward 5,413,81,332,0
,City of MADISON Ward 6,824,135,689,0
,City of MADISON Ward 7,461,100,358,3
,City of MADISON Ward 8,628,121,507,0
,City of MADISON Ward 9,868,149,718,1
,City of MADISON Ward 10,718,133,585,0
,City of MADISON Ward 11,216,33,182,1
,City of MADISON Ward 12,746,119,626,1
,City of MADISON Ward 13,227,29,198,0
,City of MADISON Ward 14,284,31,252,1
,City of MADISON Ward 15,526,50,476,0
,City of MADISON Ward 16,"1,243",115,"1,127",1
,City of MADISON Ward 17,217,34,182,1
,City of MADISON Ward 18,224,24,200,0
,City of MADISON Ward 19,249,24,225,0
,City of MADISON Ward 20,77,5,72,0
,City of MADISON Ward 21,275,23,251,1
,City of MADISON Ward 22,443,75,368,0
,City of MADISON Ward 23,172,26,146,0
,City of MADISON Ward 24,306,77,227,2
,City of MADISON Ward 25,627,102,524,1
,City of MADISON Ward 26,409,63,346,0
,City of MADISON Ward 27,5,0,5,0
,City of MADISON Ward 28,542,33,507,2
,City of MADISON Ward 29,"1,408",60,"1,346",2
,City of MADISON Ward 30,390,24,366,0
,City of MADISON Ward 31,518,55,463,0
,City of MADISON Ward 32,293,38,255,0
,City of MADISON Ward 33,230,28,202,0
,City of MADISON Ward 34,411,40,370,1
,City of MADISON Ward 35,358,37,321,0
,City of MADISON Ward 36,548,75,470,3
,City of MADISON Ward 37,661,90,570,1
,City of MADISON Ward 38,"1,285",220,"1,065",0
,City of MADISON Ward 39,791,41,750,0
,City of MADISON Ward 40,"1,695",44,"1,651",0
,City of MADISON Ward 41,"1,586",51,"1,533",2
,City of MADISON Ward 42,"1,375",28,"1,347",0
,City of MADISON Ward 43,178,12,166,0
,City of MADISON Ward 44,918,30,887,1
,City of MADISON Ward 45,"1,406",45,"1,359",2
,City of MADISON Ward 46,877,48,829,0
,City of MADISON Ward 47,343,30,313,0
,City of MADISON Ward 48,156,17,139,0
,City of MADISON Ward 49,468,68,399,1
,City of MADISON Ward 50,546,37,509,0
,City of MADISON Ward 51,537,44,491,2
,City of MADISON Ward 52,281,18,262,1
,City of MADISON Ward 53,"1,218",92,"1,124",2
,City of MADISON Ward 54,136,37,99,0
,City of MADISON Ward 55,517,75,442,0
,City of MADISON Ward 56,330,67,263,0
,City of MADISON Ward 57,170,25,145,0
,City of MADISON Ward 58,239,27,212,0
,City of MADISON Ward 59,273,59,214,0
,City of MADISON Ward 60,199,14,185,0
,City of MADISON Ward 61,801,56,745,0
,City of MADISON Ward 62,609,28,580,1
,City of MADISON Ward 63,814,28,786,0
,City of MADISON Ward 64,830,38,791,1
,City of MADISON Ward 65,"1,529",68,"1,460",1
,City of MADISON Ward 66,"1,077",82,994,1
,City of MADISON Ward 67,370,29,338,3
,City of MADISON Ward 68,561,25,536,0
,City of MADISON Ward 69,985,54,930,1
,City of MADISON Ward 70,482,68,412,2
,City of MADISON Ward 71,478,62,416,0
,City of MADISON Ward 72,197,15,181,1
,City of MADISON Ward 73,179,18,161,0
,City of MADISON Ward 74,131,14,117,0
,City of MADISON Ward 75,491,56,435,0
,City of MADISON Ward 76,242,23,219,0
,City of MADISON Ward 77,908,164,741,3
,City of MADISON Ward 78,"1,381",110,"1,270",1
,City of MADISON Ward 79,"1,672",157,"1,514",1
,City of MADISON Ward 80,126,16,110,0
,City of MADISON Ward 81,"1,093",74,"1,018",1
,City of MADISON Ward 82,870,41,828,1
,City of MADISON Ward 83,"1,029",84,945,0
,City of MADISON Ward 84,691,88,602,1
,City of MADISON Ward 85,"1,054",71,982,1
,City of MADISON Ward 86,"1,066",101,964,1
,City of MADISON Ward 87,"1,164",158,"1,004",2
,City of MADISON Ward 88,"1,038",187,850,1
,City of MADISON Ward 89,"1,030",149,881,0
,City of MADISON Ward 90,235,45,190,0
,City of MADISON Ward 91,746,108,638,0
,City of MADISON Ward 92,466,64,402,0
,City of MADISON Ward 93,84,8,76,0
,City of MADISON Ward 94,371,70,300,1
,City of MADISON Ward 95,772,120,651,1
,City of MADISON Ward 96,583,97,485,1
,City of MADISON Ward 97,797,118,677,2
,City of MADISON Ward 98,975,152,823,0
,City of MADISON Ward 99,279,58,221,0
,City of MADISON Ward 100,679,71,608,0
,City of MADISON Ward 101,182,26,156,0
,City of MADISON Ward 102,378,61,317,0
,City of MADISON Ward 103,112,9,103,0
,City of MADISON Ward 104,531,79,450,2
,City of MADISON Ward 105,654,96,558,0
,City of MADISON Ward 106,809,217,592,0
,City of MADISON Ward 107,628,138,490,0
,City of MADISON Ward 108,659,81,578,0
,City of MADISON Ward 109,871,130,741,0
,City of MADISON Ward 110,580,129,449,2
,City of MADISON Ward 111,787,160,627,0
,City of MADISON Ward 112,0,0,0,0
,City of MADISON Ward 113,0,0,0,0
,City of MADISON Ward 114,0,0,0,0
,City of MADISON Ward 115,0,0,0,0
,City of MADISON Ward 116,0,0,0,0
,City of MADISON Ward 117,0,0,0,0
,City of MADISON Ward 118,0,0,0,0
,City of MADISON Ward 119,0,0,0,0
,City of MADISON Ward 120,0,0,0,0
,City of MADISON Ward 121,4,0,4,0
,City of MADISON Ward 122,6,2,4,0
,City of MADISON Ward 123,0,0,0,0
,City of MADISON Ward 124,8,1,7,0
,City of MADISON Ward 125,2,0,2,0
,City of MADISON Ward 126,0,0,0,0
,City of MADISON Ward 127,0,0,0,0
,City of MADISON Ward 128,0,0,0,0
,City of MADISON Ward 129,1,0,1,0
,City of MADISON Ward 130,0,0,0,0
,City of MADISON Ward 131,2,0,2,0
,City of MADISON Ward 132,2,0,2,0
,City of MADISON Ward 133,0,0,0,0
,City of MADISON Ward 134,7,2,5,0
,City of MADISON Ward 135,0,0,0,0
,City of MADISON Ward 136,3,1,2,0
,City of MADISON Ward 137,0,0,0,0
,City of MADISON Ward 138,0,0,0,0
,City of MADISON Ward 139,0,0,0,0
,City of MADISON Ward 140,0,0,0,0
,City of MADISON Ward 141,0,0,0,0
,"City of MIDDLETON Wards 1-4,9,19-20","1,532",292,"1,239",1
,City of MIDDLETON Wards 5-8,"1,291",157,"1,131",3
,City of MIDDLETON Wards 10-13,"1,615",233,"1,380",2
,"City of MIDDLETON Wards 14-16,18,17","1,152",243,907,2
,City of MONONA Ward 1-5,"1,600",229,"1,371",0
,City of MONONA Ward 6-10,"1,258",224,"1,033",1
,City of STOUGHTON Ward 1-2,897,261,636,0
,"City of STOUGHTON Wards 3-4,10-13",783,214,568,1
,City of STOUGHTON Ward 5-6,875,198,677,0
,City of STOUGHTON Ward 7-9,890,270,619,1
,City of SUN PRAIRIE Wards 1-5,"1,599",435,"1,162",2
,"City of SUN PRAIRIE Wards 6-9,23","1,427",444,983,0
,"City of SUN PRAIRIE Wards 10-14,20-22,24-25","1,223",284,934,5
,City of SUN PRAIRIE Wards 15-19,"1,522",441,"1,081",0
,City of VERONA Wards 1-5,"1,768",460,"1,307",1
,City of VERONA Wards 6-9,"1,904",501,"1,401",2
,County Totals:,"133,189","25,276","107,788",125
DODGE ,Town of ASHIPPUN Wards 1-4,688,493,195,0
,Town of BEAVER DAM Wards 1-11,785,373,412,0
,Town of BURNETT Wards 1-2,225,133,92,0
,Town of CALAMUS Wards 1-2,208,128,80,0
,Town of CHESTER Wards 1-2,102,55,47,0
,Town of CLYMAN Ward 1,177,138,39,0
,Town of ELBA Ward 1,250,148,102,0
,Town of EMMET Wards 1-2,279,200,79,0
,Town of FOX LAKE Wards 1-4,230,140,90,0
,Town of HERMAN Wards 1-2,254,208,46,0
,Town of HUBBARD Wards 1-6,440,280,160,0
,Town of HUSTISFORD Wards 1-2,369,263,106,0
,Town of LEBANON Wards 1-2,271,191,80,0
,Town of LEROY Wards 1-2,200,141,59,0
,Town of LOMIRA Wards 1-3,159,115,44,0
,Town of LOWELL Wards 1-4,175,113,62,0
,Town of OAK GROVE Wards 1-5,217,114,103,0
,Town of PORTLAND Wards 1-2,171,96,75,0
,Town of RUBICON Wards 1-3,538,423,115,0
,Town of SHIELDS Ward 1,135,85,50,0
,Town of THERESA Wards 1-7,228,162,66,0
,Town of TRENTON Wards 1-2,219,152,67,0
,"Town of WESTFORD Wards 1,2,3",283,151,132,0
,Town of WILLIAMSTOWN Wards 1-3,212,154,58,0
,Village of BROWNSVILLE Ward 1,95,61,34,0
,Village of CLYMAN Ward 1,55,31,24,0
,Village of HUSTISFORD Wards 1-2,240,152,88,0
,Village of IRON RIDGE Ward 1,184,108,76,0
,Village of KEKOSKEE Ward 1,30,18,12,0
,Village of LOMIRA Wards 1-3,290,198,92,0
,Village of LOWELL Ward 1,54,35,19,0
,Village of NEOSHO Ward 1,106,65,41,0
,Village of RANDOLPH Wards 1-2,200,107,93,0
,Village of REESEVILLE Ward 1,113,62,51,0
,Village of THERESA Wards 1-3,224,140,84,0
,"City of BEAVER DAM Ward 1,3,5",440,166,274,0
,"City of BEAVER DAM Ward 2,6",346,150,196,0
,"City of BEAVER DAM Wards 4,8,10,14",516,209,307,0
,"City of BEAVER DAM Ward 7,12-13",362,133,229,0
,"City of BEAVER DAM Ward 9,11",460,194,266,0
,CITY OF COLUMBUS Ward 9,0,0,0,0
,City of FOX LAKE Wards 1-3,204,80,124,0
,CITY OF HARTFORD Wards 18-19,4,3,1,0
,City of HORICON Ward 1-7,980,468,512,0
,City of JUNEAU Ward 1-3,390,186,204,0
,City of MAYVILLE Ward 1-8,"1,338",675,663,0
,CITY OF WATERTOWN Wards 1-2,491,253,238,0
,CITY OF WATERTOWN Wards 3-4,408,255,153,0
,CITY OF WATERTOWN Wards 5-6,391,239,152,0
,CITY OF WATERTOWN Ward 7,142,82,60,0
,"City of WAUPUN Wards 1-8,13-14",515,254,261,0
,County Totals:,"15,393","8,780","6,613",0
DOOR ,Town of BAILEYS HARBOR Ward 1,138,46,92,0
,Town of BAILEYS HARBOR Ward 2,224,70,154,0
,Town of BRUSSELS Ward 1,75,43,32,0
,Town of BRUSSELS Ward 2,134,59,75,0
,Town of CLAY BANKS Ward 1,115,53,62,0
,Town of EGG HARBOR Ward 1,158,49,108,1
,Town of EGG HARBOR Ward 2,77,24,53,0
,Town of EGG HARBOR Ward 3,13,5,8,0
,Town of FORESTVILLE Ward 1,106,49,57,0
,Town of FORESTVILLE Ward 2,75,26,49,0
,Town of GARDNER Ward 1,108,50,58,0
,Town of GARDNER Ward 2,69,39,30,0
,Town of GIBRALTAR Wards 1-2,446,139,307,0
,Town of JACKSONPORT Ward 1,123,44,78,1
,Town of JACKSONPORT Ward 2,69,22,46,1
,Town of LIBERTY GROVE Ward 1,184,58,125,1
,Town of LIBERTY GROVE Ward 2,129,49,80,0
,Town of LIBERTY GROVE Ward 3,226,50,176,0
,Town of NASEWAUPEE Ward 1,172,81,91,0
,Town of NASEWAUPEE Ward 2,83,37,46,0
,Town of NASEWAUPEE Ward 3,96,54,42,0
,"Town of SEVASTOPOL Wards 1,5",372,158,213,1
,Town of SEVASTOPOL Ward 2,97,56,41,0
,Town of SEVASTOPOL Wards 3-4,331,135,196,0
,Town of STURGEON BAY Ward 1,81,42,39,0
,Town of STURGEON BAY Ward 2,85,35,50,0
,Town of UNION Ward 1,236,114,122,0
,Town of WASHINGTON Ward 1,292,122,170,0
,Village of EGG HARBOR Ward 1,94,26,68,0
,Village of EPHRAIM Ward 1,136,51,85,0
,Village of FORESTVILLE Ward 1,89,37,52,0
,Village of SISTER BAY Ward 1,324,96,228,0
,"City of STURGEON BAY Wards 1-2,29",188,42,146,0
,City of STURGEON BAY Wards 3-4,426,151,275,0
,"City of STURGEON BAY Wards 5-6,22-24",322,128,194,0
,City of STURGEON BAY Wards 7-8,261,113,148,0
,"City of STURGEON BAY Wards 9-10,27",289,92,196,1
,City of STURGEON BAY Wards 11-12,235,86,148,1
,City of STURGEON BAY Wards 13-14,294,108,186,0
,"City of STURGEON BAY Wards 15-17,28",23,8,15,0
,"City of STURGEON BAY Wards 18-19,25-26,30",32,12,20,0
,City of STURGEON BAY Wards 20-21,17,4,13,0
,County Totals:,"7,044","2,663","4,374",7
DOUGLAS ,Town of AMNICON Wards 1-2,278,112,165,1
,Town of BENNETT Ward 1,139,78,61,0
,Town of BRULE Wards 1-2,209,78,131,0
,Town of CLOVERLAND Ward 1,47,29,18,0
,Town of DAIRYLAND Ward 1,32,21,11,0
,Town of GORDON Ward 1,126,51,75,0
,Town of HAWTHORNE Wards 1-2,177,95,82,0
,Town of HIGHLAND Ward 1,79,38,41,0
,Town of LAKESIDE Ward 1,153,72,81,0
,Town of MAPLE Ward 1,183,54,129,0
,Town of OAKLAND Wards 1-2,187,66,121,0
,Town of PARKLAND Wards 1-2,132,46,86,0
,Town of SOLON SPRINGS Wards 1-3,170,78,92,0
,Town of SUMMIT Wards 1-2,239,76,163,0
,Town of SUPERIOR Wards 1-2,413,172,241,0
,Town of WASCOTT Ward 1,125,61,64,0
,Village of LAKE NEBAGAMON Wards 1-2,289,149,140,0
,Village of OLIVER Ward 1,120,40,80,0
,Village of POPLAR Ward 1,175,94,81,0
,Village of SOLON SPRINGS Ward 1,121,52,69,0
,Village of SUPERIOR Ward 1,100,24,76,0
,"City of SUPERIOR Ward 1-3,7-8",651,183,467,1
,"City of SUPERIOR Ward 4-6,9-12",511,189,318,4
,"City of SUPERIOR Ward 13-16,20-22",608,159,447,2
,"City of SUPERIOR Ward 17-19,30-32",353,111,240,2
,City of SUPERIOR Ward 23-29,861,294,565,2
,County Totals:,"6,478","2,422","4,044",12
DUNN ,Town of COLFAX Ward 1-3,156,79,77,0
,Town of DUNN Wards 1-2,221,92,129,0
,Town of EAU GALLE Ward 1,111,66,45,0
,Town of ELK MOUND Ward 1-3,164,90,74,0
,Town of GRANT Ward 1-2,66,42,24,0
,Town of HAY RIVER Ward 1-2,93,47,46,0
,Town of LUCAS Ward 1,100,46,54,0
,Town of MENOMONIE Ward 1-3,484,213,271,0
,Town of NEW HAVEN Ward 1,87,43,44,0
,Town of OTTER CREEK Ward 1,70,36,34,0
,Town of PERU Ward 1,34,19,15,0
,Town of RED CEDAR Ward 1-3,342,193,149,0
,Town of ROCK CREEK Ward 1,144,70,74,0
,Town of SAND CREEK Ward 1,100,55,45,0
,Town of SHERIDAN Ward 1,77,41,36,0
,Town of SHERMAN Ward 1,120,71,49,0
,Town of SPRING BROOK Ward 1-2,192,118,74,0
,Town of STANTON Ward 1,96,61,35,0
,Town of TAINTER Ward 1-3,348,163,185,0
,Town of TIFFANY Ward 1-2,86,50,36,0
,Town of WESTON Ward 1-2,90,49,41,0
,Town of WILSON Ward 1,77,40,37,0
,Village of BOYCEVILLE Ward 1,80,37,43,0
,Village of COLFAX Ward 1-2,144,55,89,0
,Village of DOWNING Ward 1,25,15,10,0
,Village of ELK MOUND Ward 1,95,48,47,0
,Village of KNAPP Ward 1,83,55,28,0
,Village of RIDGELAND Ward 1,26,14,12,0
,Village of WHEELER Ward 1,37,15,22,0
,City of MENOMONIE Ward 1,261,75,186,0
,City of MENOMONIE Ward 2,191,75,116,0
,City of MENOMONIE Ward 3,85,19,66,0
,City of MENOMONIE Ward 4,50,14,36,0
,City of MENOMONIE Ward 5,42,13,29,0
,City of MENOMONIE Ward 6,152,43,109,0
,City of MENOMONIE Ward 7,31,14,17,0
,City of MENOMONIE Ward 8,97,31,66,0
,City of MENOMONIE Ward 9,145,49,96,0
,City of MENOMONIE Ward 10,290,69,221,0
,City of MENOMONIE Ward 11,280,104,176,0
,County Totals:,"5,372","2,429","2,943",0
EAU CLAIRE ,Town of BRIDGE CREEK Wards 1-2,203,105,98,0
,Town of BRUNSWICK Wards 1-2,385,170,215,0
,Town of CLEAR CREEK Wards 1-2,100,46,54,0
,Town of DRAMMEN Ward 1,160,66,94,0
,Town of FAIRCHILD Ward 1,35,23,11,1
,Town of LINCOLN Wards 1-2,249,131,118,0
,Town of LUDINGTON Ward 1,208,110,98,0
,Town of OTTER CREEK Ward 1,60,22,38,0
,Town of PLEASANT VALLEY Wards 1-4,795,389,406,0
,Town of SEYMOUR Wards 1-6,658,284,374,0
,Town of UNION Wards 1-4,449,205,243,1
,Town of WASHINGTON Ward 1-13,"1,557",689,867,1
,Town of WILSON Ward 1,45,27,18,0
,Village of FAIRCHILD Ward 1,55,30,25,0
,Village of FALL CREEK Wards 1-2,311,155,156,0
,"City of ALTOONA Wards 1,12-14",168,62,106,0
,City of ALTOONA Wards 2-3,155,62,93,0
,City of ALTOONA Wards 4-5,234,76,158,0
,"City of ALTOONA Wards 6-11,15",679,241,438,0
,City of AUGUSTA Wards 1-5,155,82,73,0
,City of EAU CLAIRE Ward 1,111,26,85,0
,City of EAU CLAIRE Ward 2,166,28,138,0
,City of EAU CLAIRE Ward 3,772,121,651,0
,City of EAU CLAIRE Ward 4,139,41,98,0
,City of EAU CLAIRE Ward 5,140,34,106,0
,City of EAU CLAIRE Ward 6,211,31,180,0
,City of EAU CLAIRE Ward 7,286,98,187,1
,City of EAU CLAIRE Ward 8,283,103,180,0
,City of EAU CLAIRE Ward 9,91,18,73,0
,City of EAU CLAIRE Ward 10,273,99,174,0
,City of EAU CLAIRE Ward 11,354,123,231,0
,City of EAU CLAIRE Ward 12,544,193,351,0
,City of EAU CLAIRE Ward 13,104,30,74,0
,City of EAU CLAIRE Ward 14,317,92,225,0
,City of EAU CLAIRE Ward 15,360,137,223,0
,City of EAU CLAIRE Ward 17,591,209,382,0
,City of EAU CLAIRE Ward 18,213,101,112,0
,City of EAU CLAIRE Ward 19,111,39,72,0
,City of EAU CLAIRE Ward 20,215,57,157,1
,City of EAU CLAIRE Ward 21,254,90,161,3
,City of EAU CLAIRE Ward 22,109,38,71,0
,City of EAU CLAIRE Ward 23,496,170,326,0
,City of EAU CLAIRE Ward 24,40,7,32,1
,City of EAU CLAIRE Ward 25,655,241,414,0
,City of EAU CLAIRE Ward 26,237,97,139,1
,City of EAU CLAIRE Ward 27,68,19,49,0
,City of EAU CLAIRE Ward 28,193,70,123,0
,City of EAU CLAIRE Ward 29,368,101,267,0
,City of EAU CLAIRE Ward 30,360,89,271,0
,City of EAU CLAIRE Ward 31,297,46,250,1
,City of EAU CLAIRE Ward 32,391,67,324,0
,City of EAU CLAIRE Ward 33,131,59,72,0
,City of EAU CLAIRE Ward 34,113,30,83,0
,City of EAU CLAIRE Ward 35,373,117,255,1
,City of EAU CLAIRE Ward 36,100,48,52,0
,City of EAU CLAIRE Ward 37,200,66,133,1
,City of EAU CLAIRE Ward 38,173,61,112,0
,City of EAU CLAIRE Ward 39,223,83,140,0
,City of EAU CLAIRE Ward 42,108,31,76,1
,City of EAU CLAIRE Ward 43,80,27,53,0
,City of EAU CLAIRE Ward 44,28,11,17,0
,City of EAU CLAIRE Ward 45,131,49,82,0
,City of EAU CLAIRE Ward 46,252,61,190,1
,City of EAU CLAIRE Ward 47,116,47,69,0
,City of EAU CLAIRE Ward 48,73,27,46,0
,City of EAU CLAIRE Ward 49,123,60,63,0
,City of EAU CLAIRE Ward 50,2,0,2,0
,City of EAU CLAIRE Ward 51,0,0,0,0
,City of EAU CLAIRE Ward 52,0,0,0,0
,City of EAU CLAIRE Ward 53,0,0,0,0
,City of EAU CLAIRE Ward 54,0,0,0,0
,City of EAU CLAIRE Ward 55,0,0,0,0
,City of EAU CLAIRE Ward 56,0,0,0,0
,City of EAU CLAIRE Ward 57,3,0,3,0
,City of EAU CLAIRE Ward 58,1,0,1,0
,City of EAU CLAIRE Ward 59,0,0,0,0
,City of EAU CLAIRE Ward 60,0,0,0,0
,City of EAU CLAIRE Ward 61,0,0,0,0
,City of EAU CLAIRE Ward 62,0,0,0,0
,City of EAU CLAIRE Ward 63,0,0,0,0
,City of EAU CLAIRE Ward 64,0,0,0,0
,City of EAU CLAIRE Ward 65,12,4,8,0
,City of EAU CLAIRE Ward 66,0,0,0,0
,City of EAU CLAIRE Ward 67,0,0,0,0
,City of EAU CLAIRE Ward 68,0,0,0,0
,City of EAU CLAIRE Ward 69,0,0,0,0
,City of EAU CLAIRE Ward 70,0,0,0,0
,City of EAU CLAIRE Ward 71,0,0,0,0
,City of EAU CLAIRE Ward 72,0,0,0,0
,County Totals:,"17,652","6,371","11,266",15
FLORENCE ,Town of AURORA Ward 1-3,114,68,46,0
,Town of COMMONWEALTH Ward 1-3,46,35,11,0
,Town of FENCE Ward 1,40,30,10,0
,Town of FERN Ward 1,39,32,7,0
,Town of FLORENCE Ward 1-7,244,131,113,0
,Town of HOMESTEAD Ward 1,49,32,17,0
,Town of LONG LAKE Ward 1,46,29,17,0
,Town of TIPLER Ward 1,23,21,2,0
,County Totals:,601,378,223,0
FOND DU LAC ,Town of ALTO Wards 1-2,200,157,43,0
,Town of ASHFORD Wards 1-3,337,234,103,0
,Town of AUBURN Wards 1-3,509,390,119,0
,Town of BYRON Wards 1-2,318,215,103,0
,Town of CALUMET Wards 1-2,273,163,110,0
,Town of EDEN Wards 1-2,198,152,46,0
,Town of ELDORADO Wards 1-3,226,148,78,0
,Town of EMPIRE Wards 1-4,581,345,236,0
,Town of FOND DU LAC Wards 1-8,581,352,229,0
,Town of FOREST Wards 1-2,225,164,61,0
,Town of FRIENDSHIP Wards 1-3,389,219,170,0
,Town of LAMARTINE Wards 1-2,313,207,106,0
,Town of MARSHFIELD Wards 1-2,197,131,66,0
,Town of METOMEN Wards 1-2,128,92,36,0
,Town of OAKFIELD Wards 1-2,121,87,34,0
,Town of OSCEOLA Wards 1-2,375,273,102,0
,Town of RIPON Wards 1-2,224,122,102,0
,Town of ROSENDALE Ward 1,141,93,48,0
,Town of SPRINGVALE Ward 1,128,84,44,0
,Town of TAYCHEEDAH Wards 1-5,891,567,324,0
,Town of WAUPUN Wards 1-2,262,166,96,0
,Village of BRANDON Ward 1,135,79,56,0
,Village of CAMPBELLSPORT Wards 1-4,294,182,112,0
,Village of EDEN Ward 1,105,69,36,0
,Village of FAIRWATER Ward 1,71,44,27,0
,VILLAGE OF KEWASKUM Ward 6,0,0,0,0
,Village of MOUNT CALVARY Ward 1,83,48,35,0
,Village of NORTH FOND DU LAC Wards 1-7,692,326,366,0
,Village of OAKFIELD Wards 1-2,240,116,124,0
,Village of ROSENDALE Wards 1-2,156,91,65,0
,Village of ST. CLOUD Ward 1,112,69,43,0
,City of FOND DU LAC Ward 1,127,70,57,0
,City of FOND DU LAC Ward 2,121,44,77,0
,City of FOND DU LAC Ward 3,322,143,179,0
,City of FOND DU LAC Ward 4,137,59,78,0
,City of FOND DU LAC Ward 5,333,147,186,0
,City of FOND DU LAC Ward 6,231,104,127,0
,City of FOND DU LAC Ward 7,143,66,77,0
,City of FOND DU LAC Ward 8,207,103,104,0
,City of FOND DU LAC Ward 9,133,64,69,0
,City of FOND DU LAC Ward 10,250,136,114,0
,City of FOND DU LAC Ward 11,112,42,70,0
,City of FOND DU LAC Ward 12,248,95,153,0
,City of FOND DU LAC Ward 13,109,43,66,0
,City of FOND DU LAC Ward 14,299,147,152,0
,City of FOND DU LAC Ward 15,189,107,82,0
,City of FOND DU LAC Ward 16,196,96,100,0
,City of FOND DU LAC Ward 17,54,25,29,0
,City of FOND DU LAC Ward 18,20,14,6,0
,City of FOND DU LAC Ward 19,166,80,86,0
,City of FOND DU LAC Ward 20,0,0,0,0
,City of FOND DU LAC Ward 21,215,94,121,0
,City of FOND DU LAC Ward 22,319,172,147,0
,City of FOND DU LAC Ward 23,373,203,170,0
,City of FOND DU LAC Ward 24,356,186,170,0
,City of FOND DU LAC Ward 25,388,242,146,0
,City of FOND DU LAC Ward 26,1,1,0,0
,City of FOND DU LAC Ward 27,0,0,0,0
,City of FOND DU LAC Ward 28,0,0,0,0
,City of FOND DU LAC Ward 29,0,0,0,0
,City of RIPON Ward 1-3,284,135,149,0
,City of RIPON Ward 4-6,287,104,183,0
,City of RIPON Wards 7-8,285,116,169,0
,City of RIPON Ward 9-11,418,184,234,0
,CITY OF WAUPUN Wards 9-12,490,286,204,0
,County Totals:,"15,318","8,693","6,625",0
FOREST ,Town of ALVIN Ward 1,26,17,9,0
,Town of ARGONNE Ward 1,4,2,2,0
,Town of ARGONNE Ward 2,100,57,43,0
,Town of ARGONNE Ward 3,17,8,9,0
,Town of ARMSTRONG CREEK Ward 1,152,76,76,0
,Town of BLACKWELL Ward 1,22,16,6,0
,Town of CASWELL Ward 1,17,13,4,0
,Town of CRANDON Ward 1,95,50,45,0
,Town of CRANDON Ward 2,18,6,12,0
,Town of CRANDON Ward 3,10,6,4,0
,Town of FREEDOM Ward 1,126,70,55,1
,Town of HILES Ward 1,105,60,44,1
,Town of LAONA Ward 1,53,18,35,0
,Town of LAONA Ward 2,55,31,24,0
,Town of LAONA Ward 3,98,48,49,1
,Town of LINCOLN Ward 1,187,106,81,0
,Town of LINCOLN Ward 2,12,2,10,0
,Town of LINCOLN Ward 3,58,25,33,0
,Town of NASHVILLE Ward 1,85,58,27,0
,Town of NASHVILLE Ward 2,10,3,7,0
,Town of NASHVILLE Ward 3,63,32,31,0
,Town of POPPLE RIVER Ward 1,14,7,7,0
